Time (Seconds),Amplitude (Volts),,Time (Seconds),,,,Amplitude (Volts)
298,0.52587235,,,,,,-0.52587235
299,0.5342633,,,,,,-0.5342633
300,0.54347694,,,,,,-0.54347694
301,0.5426543,,,,,,-0.5426543
302,0.5467675,,,,,,-0.5467675
303,0.5620687,,,,,,-0.5620687
304,0.5701306,,,,,,-0.5701306
305,0.5796733,,,,,,-0.5796733
306,0.5944809,,,,,,-0.5944809
307,0.6036945,,,,,,-0.6036945
308,0.6257414,,,,,,-0.6257414
309,0.63281614,,,,,,-0.63281614
310,0.6436751,,,,,,-0.6436751
311,0.6556857,,,,,,-0.6556857
312,0.6370939,,,,,,-0.6370939
313,0.63380337,,,,,,-0.63380337
314,0.6305128,,,,,,-0.6305128
315,0.6477883,,,,,,-0.6477883
316,0.65140796,,,,,,-0.65140796
317,0.6415362,,,,,,-0.6415362
318,0.64877546,,,,,,-0.64877546
319,0.65124345,,,,,,-0.65124345
320,0.65552115,,,,,,-0.65552115
321,0.6607861,,,,,,-0.6607861
322,0.66177326,,,,,,-0.66177326
323,0.63199353,,,,,,-0.63199353
324,0.62426066,,,,,,-0.62426066
325,0.65469855,,,,,,-0.65469855
326,0.65140796,,,,,,-0.65140796
327,0.64581394,,,,,,-0.64581394
328,0.6599635,,,,,,-0.6599635
329,0.643017,,,,,,-0.643017
330,0.61784405,,,,,,-0.61784405
331,0.60780776,,,,,,-0.60780776
332,0.6023783,,,,,,-0.6023783
333,0.5926711,,,,,,-0.5926711
334,0.5814831,,,,,,-0.5814831
335,0.57095325,,,,,,-0.57095325
336,0.57045966,,,,,,-0.57045966
337,0.5564747,,,,,,-0.5564747
338,0.53064364,,,,,,-0.53064364
339,0.52307534,,,,,,-0.52307534
340,0.53294706,,,,,,-0.53294706
341,0.5235689,,,,,,-0.5235689
342,0.5043191,,,,,,-0.5043191
343,0.50399,,,,,,-0.50399
344,0.49707976,,,,,,-0.49707976
345,0.48441106,,,,,,-0.48441106
346,0.48852426,,,,,,-0.48852426
347,0.48556274,,,,,,-0.48556274
348,0.4602253,,,,,,-0.4602253
349,0.46104795,,,,,,-0.46104795
350,0.46219966,,,,,,-0.46219966
351,0.44492415,,,,,,-0.44492415
352,0.44854376,,,,,,-0.44854376
353,0.44788566,,,,,,-0.44788566
354,0.44969547,,,,,,-0.44969547
355,0.43357164,,,,,,-0.43357164
356,0.42600334,,,,,,-0.42600334
357,0.41349915,,,,,,-0.41349915
358,0.40790516,,,,,,-0.40790516
359,0.39457834,,,,,,-0.39457834
360,0.39408475,,,,,,-0.39408475
361,0.38108698,,,,,,-0.38108698
362,0.36644393,,,,,,-0.36644393
363,0.36693752,,,,,,-0.36693752
364,0.36907637,,,,,,-0.36907637
365,0.372696,,,,,,-0.372696
366,0.36035636,,,,,,-0.36035636
367,0.3503201,,,,,,-0.3503201
368,0.3536107,,,,,,-0.3536107
369,0.37022808,,,,,,-0.37022808
