Time (Seconds),Amplitude (Volts),,Time (Seconds)
957,0.16070488,,
958,0.047345035,,
959,0.05919106,,
960,0.1279638,,
961,0.1661343,,
962,0.19262332,,
963,0.2326036,,
964,0.21598628,,
965,0.18538408,,
966,0.124508716,,
967,-0.020934166,,
968,-0.10846321,,
969,-0.06947,,
970,0.023323921,,
971,0.10131025,,
972,0.1725509,,
973,0.22750324,,
974,0.23128738,,
975,0.2232255,,
976,0.14013888,,
977,0.020362414,,
978,-0.065850385,,
979,-0.06255981,,
980,0.001770729,,
981,0.07811179,,
982,0.13948077,,
983,0.1848905,,
984,0.19969802,,
985,0.19706556,,
986,0.09900686,,
987,-0.050384723,,
988,-0.12359983,,
989,-0.13231982,,
990,-0.067331135,,
991,0.011477892,,
992,0.07235331,,
993,0.124508716,,
994,0.15856601,,
995,0.16037582,,
996,0.07070803,,
997,-0.08625189,,
998,-0.17855231,,
999,-0.16061871,,
1000,-0.09052963,,
1001,-0.029654162,,
1002,0.003251482,,
1003,0.03155033,,
1004,0.06610124,,
1005,0.10608157,,
1006,0.022172224,,
1007,-0.1321553,,
1008,-0.20421875,,
1009,-0.17641345,,
1010,-0.10402095,,
1011,-0.04298095,,
1012,0.014110344,,
1013,0.049154844,,
1014,0.062481623,,
1015,0.055242386,,
1016,-0.04396812,,
1017,-0.19846025,,
1018,-0.28335696,,
1019,-0.2507803,,
1020,-0.15946701,,
1021,-0.08608736,,
1022,-0.022250392,,
1023,0.028095238,,
1024,0.039118625,,
1025,0.020526942,,
1026,-0.08460661,,
1027,-0.2414022,,
1028,-0.3146174,,
1029,-0.2754596,,
1030,-0.18809496,,
1031,-0.11833492,,
1032,-0.055156045,,
1033,0.003580539,,
1034,0.030398633,,
1035,0.04240919,,
1036,-0.050384723,,
1037,-0.2004346,,
1038,-0.25637427,,
1039,-0.21622932,,
1040,-0.13363606,,
1041,-0.057788495,,
1042,0.000289975,,
1043,0.03615712,,
1044,0.06577218,,
1045,0.07942802,,
1046,-0.013694923,,
1047,-0.16539003,,
1048,-0.22116518,,
1049,-0.19451156,,
1050,-0.13347153,,
1051,-0.0770383,,
1052,-0.034425482,,
1053,0.005390349,,
1054,0.030892218,,
1055,0.028588824,,
1056,-0.06881189,,
1057,-0.22264594,,
1058,-0.2904317,,
1059,-0.26476523,,
1060,-0.18184288,,
1061,-0.12919378,,
1062,-0.07835453,,
1063,-0.003165118,,
1064,0.022665808,,
1065,0.04323183,,
1066,-0.05054925,,
1067,-0.21557121,,
1068,-0.30688456,,
1069,-0.27595317,,
1070,-0.19944742,,
1071,-0.15963154,,
1072,-0.09694623,,
1073,-0.027844353,,
1074,0.005061293,,
1075,-0.001190779,,
1076,-0.09003604,,
1077,-0.2305433,,
1078,-0.30951703,,
1079,-0.27447242,,
1080,-0.19615686,,
1081,-0.16160588,,
1082,-0.1135636,,
1083,-0.081151515,,
1084,-0.069634534,,
1085,-0.10517265,,
1086,-0.22955613,,
1087,-0.38701,,
1088,-0.45117623,,
1089,-0.41234744,,
1090,-0.323831,,
1091,-0.24600899,,
1092,-0.18858854,,
1093,-0.13166171,,
1094,-0.08296132,,
1095,-0.075063966,,
1096,-0.17657797,,
1097,-0.33666423,,
1098,-0.41053763,,
1099,-0.3819096,,
1100,-0.2932287,,
1101,-0.22511387,,
1102,-0.1576572,,
1103,-0.098591514,,
1104,-0.07769642,,
1105,-0.09694623,,
1106,-0.21524216,,
1107,-0.37467036,,
1108,-0.43373618,,
1109,-0.4047791,,
1110,-0.33501896,,
1111,-0.27003014,,
1112,-0.21343234,,
1113,-0.17345193,,
1114,-0.15831532,,
1115,-0.17427456,,
1116,-0.28648302,,
1117,-0.4154735,,
1118,-0.4623642,,
1119,-0.4276486,,
1120,-0.36479864,,
1121,-0.32860234,,
1122,-0.29487395,,
1123,-0.23547916,,
1124,-0.21540669,,
1125,-0.2206716,,
1126,-0.3254763,,
1127,-0.469768,,
1128,-0.5331116,,
1129,-0.49346015,,
1130,-0.40971497,,
1131,-0.3463714,,
1132,-0.29569662,,
1133,-0.24716069,,
1134,-0.24584445,,
1135,-0.24814786,,
1136,-0.335348,,
1137,-0.5141908,,
1138,-0.5855963,,
1139,-0.5620687,,
1140,-0.48457557,,
1141,-0.42040935,,
1142,-0.36660844,,
1143,-0.31544003,,
1144,-0.27710488,,
1145,-0.2731562,,
1146,-0.38256773,,
1147,-0.52718854,,
1148,-0.6097821,,
1149,-0.58411556,,
1150,-0.50399,,
1151,-0.45199886,,
1152,-0.39128774,,
1153,-0.34571332,,
1154,-0.335348,,
1155,-0.3434099,,
1156,-0.44920188,,
1157,-0.5854318,,
1158,-0.6263995,,
1159,-0.58049595,,
1160,-0.4916503,,
1161,-0.42221916,,
1162,-0.35871106,,
1163,-0.29651925,,
1164,-0.2680558,,
1165,-0.27414337,,
1166,-0.3893134,,
1167,-0.5273531,,
1168,-0.5862545,,
1169,-0.5515388,,
1170,-0.46549022,,
1171,-0.40790516,,
1172,-0.36825374,,
1173,-0.3192242,,
1174,-0.3105042,,
1175,-0.34373897,,
1176,-0.47651365,,
1177,-0.6273867,,
1178,-0.6795424,,
1179,-0.64926904,,
