Time (Seconds),Amplitude (Volts),Time (Seconds)
1012,0.11282722,
1013,0.05376163,
1014,0.03336014,
1015,0.043889944,
1016,0.058532946,
1017,0.0957163,
1018,0.13125436,
1019,0.14491019,
1020,0.15297206,
1021,0.13586114,
1022,0.08057971,
1023,0.034676366,
1024,0.023982035,
1025,0.032043915,
1026,0.04685145,
1027,0.07811179,
1028,0.10525893,
1029,0.11726948,
1030,0.12977362,
1031,0.11496609,
1032,0.061988037,
1033,0.009339025,
1034,-0.008430021,
1035,0.005390349,
1036,0.028588824,
1037,0.053432576,
1038,0.0799216,
1039,0.10772685,
1040,0.12697664,
1041,0.10690421,
1042,0.061988037,
1043,0.008680913,
1044,-0.018959828,
1045,-0.008265493,
1046,0.015426569,
1047,0.044383526,
1048,0.07926349,
1049,0.101474784,
1050,0.11513061,
1051,0.091932155,
1052,0.05557144,
1053,0.009339025,
1054,-0.023566617,
1055,-0.019782469,
1056,0.004896764,
1057,0.03516995,
1058,0.06774652,
1059,0.0957163,
1060,0.11430797,
1061,0.09588083,
1062,0.044219,
1063,-0.01402398,
1064,-0.042322837,
1065,-0.034425482,
1066,-0.015504735,
1067,0.021514112,
1068,0.053432576,
1069,0.060178228,
1070,0.06626577,
1071,0.04142202,
1072,-0.013201339,
1073,-0.057953022,
1074,-0.077860944,
1075,-0.07078623,
1076,-0.052030005,
1077,-0.008594549,
1078,0.023323921,
1079,0.028424295,
1080,0.03516995,
1081,0.018552605,
1082,-0.03574171,
1083,-0.08345491,
1084,-0.09990774,
1085,-0.09365567,
1086,-0.07276057,
1087,-0.03080586,
1088,0.005061293,
1089,0.02793071,
1090,0.035499007,
1091,0.003909595,
1092,-0.050055668,
1093,-0.101717554,
1094,-0.12952285,
1095,-0.119322084,
1096,-0.09530095,
1097,-0.06469868,
1098,-0.0391968,
1099,-0.013530396,
1100,-0.006126626,
1101,-0.02422473,
1102,-0.06831831,
1103,-0.12557417,
1104,-0.1611123,
1105,-0.1489372,
1106,-0.11438624,
1107,-0.08131604,
1108,-0.052852646,
1109,-0.027350767,
1110,-0.010239831,
1111,-0.03491907,
1112,-0.08131604,
1113,-0.13264889,
1114,-0.16654174,
1115,-0.15518928,
1116,-0.13445869,
1117,-0.10681793,
1118,-0.07621566,
1119,-0.052359063,
1120,-0.04001944,
1121,-0.06634396,
1122,-0.12804209,
1123,-0.17953949,
1124,-0.20421875,
1125,-0.19484062,
1126,-0.17230023,
1127,-0.12902926,
1128,-0.10204661,
1129,-0.09842699,
1130,-0.09003604,
1131,-0.10796963,
1132,-0.1698323,
1133,-0.22231688,
1134,-0.23646633,
1135,-0.22741726,
1136,-0.21063536,
1137,-0.1645674,
1138,-0.1303455,
1139,-0.11619605,
1140,-0.10402095,
1141,-0.12310624,
1142,-0.17690702,
1143,-0.22116518,
1144,-0.24041502,
1145,-0.23153047,
1146,-0.20981272,
1147,-0.17493269,
1148,-0.14120436,
1149,-0.12524511,
1150,-0.11784133,
1151,-0.13807832,
1152,-0.19401798,
1153,-0.24485728,
1154,-0.27677584,
1155,-0.2621328,
1156,-0.23564368,
1157,-0.20586403,
1158,-0.16884513,
1159,-0.14087531,
1160,-0.13231982,
1161,-0.15930249,
1162,-0.20931913,
1163,-0.2650943,
1164,-0.29997435,
1165,-0.28631848,
1166,-0.25061578,
1167,-0.21869725,
1168,-0.18809496,
1169,-0.16571909,
1170,-0.15798625,
1171,-0.18793043,
1172,-0.23317575,
1173,-0.2800664,
1174,-0.30672002,
1175,-0.2984936,
1176,-0.28154716,
1177,-0.2489705,
1178,-0.21721649,
1179,-0.19813119,
1180,-0.18743685,
1181,-0.21063536,
1182,-0.27233356,
1183,-0.3180725,
1184,-0.33567706,
1185,-0.32761517,
1186,-0.30968153,
1187,-0.26904297,
1188,-0.23876972,
1189,-0.22791085,
1190,-0.21984896,
1191,-0.24370559,
1192,-0.31149137,
1193,-0.35640767,
1194,-0.361179,
1195,-0.34719408,
1196,-0.32416007,
1197,-0.28977358,
1198,-0.26673958,
1199,-0.2443637,
1200,-0.22955613,
1201,-0.26673958,
1202,-0.33288008,
1203,-0.375493,
1204,-0.39062965,
1205,-0.36956996,
1206,-0.3335382,
1207,-0.30622643,
1208,-0.28615394,
1209,-0.27463695,
1210,-0.26673958,
1211,-0.28829283,
1212,-0.33386725,
1213,-0.3784545,
1214,-0.39737532,
1215,-0.37944168,
1216,-0.3577239,
1217,-0.33304462,
1218,-0.30523926,
1219,-0.27990186,
1220,-0.27118185,
1221,-0.3037585,
1222,-0.34834576,
1223,-0.39671722,
1224,-0.4274841,
1225,-0.40609536,
1226,-0.37861905,
1227,-0.3519654,
1228,-0.32416007,
1229,-0.29470944,
1230,-0.28302792,
1231,-0.31346568,
1232,-0.37220243,
1233,-0.42386445,
1234,-0.44245622,
1235,-0.42945844,
1236,-0.4087278,
1237,-0.3731896,
1238,-0.35163635,
1239,-0.34028387,
1240,-0.31889513,
1241,-0.33962575,
1242,-0.39918515,
1243,-0.4465694,
1244,-0.4589091,
1245,-0.44459507,
1246,-0.41629612,
1247,-0.37072167,
1248,-0.34752312,
1249,-0.3346899,
1250,-0.33139932,
1251,-0.3606854,
1252,-0.41794142,
1253,-0.45923814,
1254,-0.47371668,
1255,-0.45923814,
1256,-0.43225542,
1257,-0.39852703,
1258,-0.37878358,
1259,-0.36891186,
1260,-0.35871106,
1261,-0.37598658,
1262,-0.43077466,
1263,-0.481285,
1264,-0.49740884,
1265,-0.47338763,
1266,-0.4452532,
1267,-0.42057386,
1268,-0.3932621,
1269,-0.36891186,
1270,-0.36315334,
1271,-0.39573005,
1272,-0.44229168,
1273,-0.48967597,
1274,-0.50892586,
1275,-0.49395373,
1276,-0.4778299,
1277,-0.45578304,
1278,-0.41827047,
1279,-0.389807,
1280,-0.38552925,
1281,-0.4202448,
1282,-0.4916503,
1283,-0.56371397,
1284,-0.5931647,
1285,-0.5854318,
1286,-0.5592717,
1287,-0.52998555,
1288,-0.50612885,
1289,-0.49280202,
1290,-0.4847401,
1291,-0.51007754,
1292,-0.5591072,
1293,-0.6058334,
1294,-0.62524784,
1295,-0.6193248,
1296,-0.59415185,
1297,-0.56058794,
1298,-0.5308082,
1299,-0.51221645,
1300,-0.49428278,
1301,-0.5283403,
1302,-0.589545,
1303,-0.6255769,
1304,-0.637423,
1305,-0.62179273,
1306,-0.59184843,
1307,-0.5528551,
1308,-0.5303146,
1309,-0.509913,
1310,-0.49806693,
1311,-0.52669495,
1312,-0.58674806,
1313,-0.6329807,
1314,-0.64400417,
1315,-0.62162817,
1316,-0.5956326,
1317,-0.5604234,
1318,-0.53607315,
1319,-0.5133681,
1320,-0.50283825,
1321,-0.5350859,
1322,-0.58460915,
1323,-0.6300192,
1324,-0.6509144,
1325,-0.6265641,
1326,-0.59777147,
1327,-0.57144684,
1328,-0.5342633,
1329,-0.4972443,
1330,-0.49099222,
1331,-0.5275176,
1332,-0.5763827,
1333,-0.62179273,
1334,-0.6397264,
1335,-0.62212175,
1336,-0.60106206,
1337,-0.5791797,
1338,-0.54775465,
1339,-0.5136972,
1340,-0.5036609,
1341,-0.5456158,
1342,-0.6018847,
1343,-0.646143,
1344,-0.6589763,
1345,-0.637423,
1346,-0.61241454,
1347,-0.572434,
1348,-0.54364145,
1349,-0.5252142,
1350,-0.5171523,
1351,-0.5558166,
1352,-0.6158697,
1353,-0.65930533,
1354,-0.6668737,
1355,-0.65124345,
1356,-0.626235,
1357,-0.5857609,
1358,-0.5587781,
1359,-0.54067993,
1360,-0.5359086,
1361,-0.56733364,
1362,-0.6224508,
1363,-0.66226685,
1364,-0.66786087,
1365,-0.64795285,
1366,-0.6135663,
1367,-0.57654727,
1368,-0.555323,
1369,-0.5375539,
1370,-0.53015006,
1371,-0.5632204,
1372,-0.6166923,
1373,-0.65420496,
1374,-0.6596344,
1375,-0.6472947,
1376,-0.6295256,
1377,-0.5989232,
1378,-0.5620687,
1379,-0.5377184,
1380,-0.53689575,
1381,-0.5727631,
1382,-0.61850214,
