Time (Seconds),Amplitude (Volts) [Filtered 0.3-10.0Hz],,,,Time (Seconds),,,
0.836,0.238835789,,,,,,,
0.838,0.248682143,,,,,,,
0.84,0.258098424,,,,,,,
0.842,0.267075651,,,,,,,
0.844,0.275604154,,,,,,,
0.846,0.28367363,,,,,,,
0.848,0.291273265,,,,,,,
0.85,0.298391897,,,,,,,
0.852,0.305018204,,,,,,,
0.854,0.311140921,,,,,,,
0.856,0.31674906,,,,,,,
0.858,0.321832144,,,,,,,
0.86,0.326380447,,,,,,,
0.862,0.330385247,,,,,,,
0.864,0.333839078,,,,,,,
0.866,0.336735983,,,,,,,
0.868,0.339071752,,,,,,,
0.87,0.340844122,,,,,,,
0.872,0.342052933,,,,,,,
0.874,0.342700238,,,,,,,
0.876,0.342790347,,,,,,,
0.878,0.342329824,,,,,,,
0.88,0.341327452,,,,,,,
0.882,0.339794162,,,,,,,
0.884,0.337742963,,,,,,,
0.886,0.33518886,,,,,,,
0.888,0.33214878,,,,,,,
0.89,0.328641491,,,,,,,
0.892,0.32468753,,,,,,,
0.894,0.320309117,,,,,,,
0.896,0.315530075,,,,,,,
0.898,0.310375746,,,,,,,
0.9,0.304872915,,,,,,,
0.902,0.299049738,,,,,,,
0.904,0.292935677,,,,,,,
0.906,0.286561444,,,,,,,
0.908,0.279958922,,,,,,,
0.91,0.273161073,,,,,,,
0.912,0.266201805,,,,,,,
0.914,0.259115801,,,,,,,
0.916,0.2519383,,,,,,,
0.918,0.244704835,,,,,,,
0.92,0.237450949,,,,,,,
0.922,0.230211873,,,,,,,
0.924,0.223022204,,,,,,,
0.926,0.215915561,,,,,,,
0.928,0.208924239,,,,,,,
0.93,0.202078841,,,,,,,
0.932,0.195407911,,,,,,,
0.934,0.188937552,,,,,,,
0.936,0.182691053,,,,,,,
0.938,0.176688531,,,,,,,
0.94,0.170946605,,,,,,,
0.942,0.165478126,,,,,,,
0.944,0.160291963,,,,,,,
0.946,0.155392855,,,,,,,
0.948,0.150781331,,,,,,,
0.95,0.146453697,,,,,,,
0.952,0.142402075,,,,,,,
0.954,0.138614503,,,,,,,
0.956,0.135075103,,,,,,,
0.958,0.131764296,,,,,,,
0.96,0.128659108,,,,,,,
0.962,0.125733541,,,,,,,
0.964,0.122959019,,,,,,,
0.966,0.12030491,,,,,,,
0.968,0.117739092,,,,,,,
0.97,0.115228551,,,,,,,
0.972,0.112739998,,,,,,,
0.974,0.110240471,,,,,,,
0.976,0.107697919,,,,,,,
0.978,0.105081749,,,,,,,
0.98,0.102363347,,,,,,,
0.982,0.099516541,,,,,,,
0.984,0.09651804,,,,,,,
0.986,0.093347799,,,,,,,
0.988,0.089989344,,,,,,,
0.99,0.08643001,,,,,,,
0.992,0.082661104,,,,,,,
0.994,0.078677987,,,,,,,
0.996,0.074480071,,,,,,,
0.998,0.070070745,,,,,,,
1,0.065457235,,,,,,,
1.002,0.06065042,,,,,,,
1.004,0.05566461,,,,,,,
1.006,0.050517277,,,,,,,
1.008,0.04522877,,,,,,,
1.01,0.039821976,,,,,,,
1.012,0.034321969,,,,,,,
1.014,0.028755607,,,,,,,
1.016,0.023151133,,,,,,,
1.018,0.017537755,,,,,,,
1.02,0.011945241,,,,,,,
1.022,0.006403544,,,,,,,
1.024,0.000942459,,,,,,,
1.026,-0.004408679,,,,,,,
1.028,-0.009621262,,,,,,,
1.03,-0.014667643,,,,,,,
1.032,-0.019521349,,,,,,,
1.034,-0.024157282,,,,,,,
1.036,-0.028551895,,,,,,,
1.038,-0.032683374,,,,,,,
1.04,-0.036531785,,,,,,,
1.042,-0.040079209,,,,,,,
1.044,-0.043309862,,,,,,,
1.046,-0.046210186,,,,,,,
1.048,-0.048768946,,,,,,,
1.05,-0.050977314,,,,,,,
1.052,-0.052828963,,,,,,,
1.054,-0.054320176,,,,,,,
1.056,-0.05544995,,,,,,,
1.058,-0.056220097,,,,,,,
1.06,-0.056635335,,,,,,,
1.062,-0.05670334,,,,,,,
1.064,-0.056434757,,,,,,,
1.066,-0.055843177,,,,,,,
1.068,-0.054945057,,,,,,,
1.07,-0.05375961,,,,,,,
1.072,-0.052308647,,,,,,,
1.074,-0.050616395,,,,,,,
1.076,-0.048709273,,,,,,,
1.078,-0.046615627,,,,,,,
1.08,-0.044365427,,,,,,,
1.082,-0.041989907,,,,,,,
1.084,-0.039521166,,,,,,,
1.086,-0.036991725,,,,,,,
1.088,-0.034434069,,,,,,,
