Time (Seconds),Amplitude (Volts) [Filtered 0.3-30.0Hz],,,,Time (Seconds)
1.08,-0.070493066,,,,7.422
1.082,-0.073374322,,,,7.424
1.084,-0.075551479,,,,7.426
1.086,-0.077091604,,,,7.428
1.088,-0.078118887,,,,7.43
1.09,-0.078770066,,,,7.432
1.092,-0.079149225,,,,7.434
1.094,-0.079299313,,,,7.436
1.096,-0.079215882,,,,7.438
1.098,-0.078901101,,,,7.44
1.1,-0.078425346,,,,7.442
1.102,-0.077971316,,,,7.444
1.104,-0.077824928,,,,7.446
1.106,-0.078276016,,,,7.448
1.108,-0.079478477,,,,7.45
1.11,-0.081390433,,,,7.452
1.112,-0.083839032,,,,7.454
1.114,-0.086615919,,,,7.456
1.116,-0.089508094,,,,7.458
1.118,-0.092293142,,,,7.46
1.12,-0.094755455,,,,7.462
1.122,-0.096701819,,,,7.464
1.124,-0.097963568,,,,7.466
1.126,-0.098425549,,,,7.468
1.128,-0.098070235,,,,7.47
1.13,-0.096973482,,,,7.472
1.132,-0.09525005,,,,7.474
1.134,-0.093013575,,,,7.476
1.136,-0.090388974,,,,7.478
1.138,-0.087541367,,,,7.48
1.14,-0.08466609,,,,7.482
1.142,-0.081943314,,,,7.484
1.144,-0.079501601,,,,7.486
1.146,-0.077405921,,,,7.488
1.148,-0.075651415,,,,7.49
1.15,-0.074161681,,,,7.492
1.152,-0.072823865,,,,7.494
1.154,-0.07156427,,,,7.496
1.156,-0.070398969,,,,7.498
1.158,-0.069400161,,,,7.5
1.16,-0.068621733,,,,7.502
1.162,-0.068071633,,,,7.504
1.164,-0.067729157,,,,7.506
1.166,-0.06754323,,,,7.508
1.168,-0.067400854,,,,7.51
1.17,-0.067119673,,,,7.512
1.172,-0.066511971,,,,7.514
1.174,-0.065486651,,,,7.516
1.176,-0.064101205,,,,7.518
1.178,-0.062524784,,,,7.52
1.18,-0.060942514,,,,7.522
1.182,-0.059463012,,,,7.524
1.184,-0.058071938,,,,7.526
1.186,-0.056620496,,,,7.528
1.188,-0.05485312,,,,7.53
1.19,-0.052503234,,,,7.532
1.192,-0.049411283,,,,7.534
1.194,-0.045576677,,,,7.536
1.196,-0.041120387,,,,7.538
1.198,-0.036189715,,,,7.54
1.2,-0.030868379,,,,7.542
1.202,-0.025164918,,,,7.544
1.204,-0.019064524,,,,7.546
1.206,-0.01257398,,,,7.548
1.208,-0.005750516,,,,7.55
1.21,0.001286423,,,,7.552
1.212,0.008382523,,,,7.554
1.214,0.015382396,,,,7.556
1.216,0.022139837,,,,7.558
1.218,0.028535111,,,,7.56
1.22,0.034501536,,,,7.562
1.222,0.040029138,,,,7.564
1.224,0.045157112,,,,7.566
1.226,0.049967099,,,,7.568
1.228,0.054549455,,,,7.57
1.23,0.058952443,,,,7.572
1.232,0.063169088,,,,7.574
1.234,0.067176987,,,,7.576
1.236,0.070974218,,,,7.578
1.238,0.074558387,,,,7.58
1.24,0.077894722,,,,7.582
1.242,0.080932636,,,,7.584
1.244,0.083629046,,,,7.586
1.246,0.0859415,,,,7.588
1.248,0.087836371,,,,7.59
1.25,0.089330181,,,,7.592
1.252,0.090514389,,,,7.594
1.254,0.091522605,,,,7.596
1.256,0.092448706,,,,7.598
1.258,0.093264357,,,,7.6
1.26,0.093788789,,,,7.602
1.262,0.093736529,,,,7.604
1.264,0.092837243,,,,7.606
1.266,0.090976221,,,,7.608
1.268,0.088271098,,,,7.61
1.27,0.085038064,,,,7.612
1.272,0.081677905,,,,7.614
1.274,0.078551986,,,,7.616
1.276,0.075885046,,,,7.618
1.278,0.07370444,,,,7.62
1.28,0.07185463,,,,7.622
1.282,0.070093445,,,,7.624
1.284,0.068205119,,,,7.626
1.286,0.066074774,,,,7.628
1.288,0.063711677,,,,7.63
1.29,0.061220297,,,,7.632
1.292,0.058738878,,,,7.634
1.294,0.056390508,,,,7.636
1.296,0.054254478,,,,7.638
1.298,0.05235401,,,,7.64
1.3,0.050677096,,,,7.642
1.302,0.049192265,,,,7.644
1.304,0.047823578,,,,7.646
1.306,0.046432234,,,,7.648
1.308,0.044840237,,,,7.65
1.31,0.042874363,,,,7.652
1.312,0.040418501,,,,7.654
1.314,0.037456812,,,,7.656
1.316,0.034052575,,,,7.658
1.318,0.030260665,,,,7.66
1.32,0.02606983,,,,7.662
1.322,0.021431981,,,,7.664
1.324,0.016307069,,,,7.666
1.326,0.01067117,,,,7.668
1.328,0.004530668,,,,7.67
1.33,-0.002038636,,,,7.672
1.332,-0.00885831,,,,7.674
1.334,-0.015661281,,,,7.676
1.336,-0.022175248,,,,7.678
1.338,-0.028223426,,,,7.68
1.34,-0.033765969,,,,7.682
1.342,-0.038886868,,,,7.684
1.344,-0.043777464,,,,7.686
1.346,-0.048692798,,,,7.688
1.348,-0.053836863,,,,7.69
1.35,-0.059266138,,,,7.692
1.352,-0.064906707,,,,7.694
1.354,-0.070621751,,,,7.696
1.356,-0.076254447,,,,7.698
1.358,-0.081643782,,,,7.7
1.36,-0.086628328,,,,7.702
1.362,-0.091068756,,,,7.704
1.364,-0.094875095,,,,7.706
1.366,-0.097997696,,,,7.708
1.368,-0.100399541,,,,7.71
1.37,-0.102042457,,,,7.712
1.372,-0.102905535,,,,7.714
1.374,-0.103027466,,,,7.716
1.376,-0.102518475,,,,7.718
1.378,-0.10153856,,,,7.72
1.38,-0.100297375,,,,7.722
1.382,-0.099065396,,,,7.724
